bin,solar_time,slope,bias,N,rmse_corrected
0,0.010416666666666666,0.7799043669557135,-2.126596229126236,866,2.5874131116665895
1,0.03125,0.7296756527072606,-1.4758418818755443,433,2.686696072097375
2,0.05208333333333333,1.0,0.0,0,
3,0.07291666666666666,0.7074338266961948,-0.8125414208798026,866,2.813440853285085
4,0.09375,0.6926569340705716,-0.16195713575821585,433,2.8715644922051524
5,0.11458333333333333,1.0,0.0,0,
6,0.13541666666666666,0.6799693274945008,0.516816911429272,866,2.9249307406495606
7,0.15625,0.6728005144114872,1.1115824341302032,433,2.936284450521426
8,0.17708333333333331,1.0,0.0,0,
9,0.19791666666666666,0.6814914296279453,1.5372307861313859,866,2.9276060027952147
10,0.21875,0.7031596636357749,1.8224246851216261,433,2.8690320575042483
11,0.23958333333333331,1.0,0.0,0,
12,0.26041666666666663,0.7271953842636615,2.054716950888342,866,2.8022936354299524
13,0.28125,0.7526116027009971,2.3085264522557054,433,2.718725632560249
14,0.3020833333333333,1.0,0.0,0,
15,0.32291666666666663,0.7761231211026137,2.591925305689495,866,2.639692493543824
16,0.34375,0.8065068186014358,2.8223326780029687,433,2.5827341705434264
17,0.3645833333333333,1.0,0.0,0,
18,0.38541666666666663,0.8748441468288296,2.6178476006666687,866,2.501812713768689
19,0.40625,0.958447503232079,2.1987529810646493,433,2.4379184830347898
20,0.4270833333333333,1.0,0.0,0,
21,0.44791666666666663,0.9924459486645532,1.8972785822793299,866,2.3865034268049636
22,0.46875,1.0028289440296214,1.523380329531582,433,2.3161175394641327
23,0.4895833333333333,1.0,0.0,0,
24,0.5104166666666666,1.025846421583164,0.9415262468094496,866,2.205960298503435
25,0.53125,1.0381159872453753,0.7133205016461387,434,2.1513944102483986
26,0.5520833333333333,1.0,0.0,0,
27,0.5729166666666666,1.042397538195036,0.6578643498715473,865,2.166239276414816
28,0.59375,1.0422191470960498,0.7078140721763891,434,2.189080510605072
29,0.6145833333333333,1.0,0.0,0,
30,0.6354166666666666,1.0536814947889217,0.6179050525949887,865,2.166736105507197
31,0.65625,1.0586164197143124,0.5555408184533116,434,2.138540443040586
32,0.6770833333333333,1.0,0.0,0,
33,0.6979166666666666,1.0566797550587577,0.5397107475442458,865,2.1342034621916484
34,0.71875,1.049775308584862,0.5958229853646533,434,2.1213528413657863
35,0.7395833333333333,1.0,0.0,0,
36,0.7604166666666666,1.0385542353999022,0.6886641794414013,865,2.1651282265257947
37,0.78125,1.032012279989378,0.7363261317385805,434,2.2073120576742458
38,0.8020833333333333,1.0,0.0,0,
39,0.8229166666666666,1.032367477351087,0.6185732633473371,865,2.1894637751845702
40,0.84375,1.0382245335819373,0.19594972787850623,434,2.1441004589620993
41,0.8645833333333333,1.0,0.0,0,
42,0.8854166666666666,1.0194200838581995,-1.0163727325407999,865,2.1326951353244943
43,0.90625,0.9869142020109205,-2.3316052412745014,434,2.0893377052845223
44,0.9270833333333333,1.0,0.0,0,
45,0.9479166666666666,0.9079018159639498,-2.528737716382657,865,2.3020244063485436
46,0.96875,0.8432958747076524,-2.5269878968473822,434,2.4526608486986974
47,0.9895833333333333,1.0,0.0,0,
